date,nav_gbp
2025-06-02,35860.41603381333
2025-06-03,35616.247721643675
2025-06-04,36366.68546025025
2025-06-05,36525.77052036286
2025-06-06,36952.87417530304
2025-06-07,36952.87417530304
2025-06-08,36952.87417530304
2025-06-09,37030.76544685364
2025-06-10,37272.25970384751
2025-06-11,37546.07930355469
2025-06-12,37674.05783909484
2025-06-13,37362.03458331848
2025-06-14,37362.03458331848
2025-06-15,37362.03458331848
2025-06-16,37320.6694450148
2025-06-17,37259.149095664216
2025-06-18,37216.25570875549
2025-06-19,36856.918521255495
2025-06-20,36484.7587637854
2025-06-21,36484.7587637854
2025-06-22,36484.7587637854
2025-06-23,36462.180482712094
2025-06-24,36039.088418748775
2025-06-25,36344.86584107193
2025-06-26,36388.79705494995
2025-06-27,36885.445231516576
2025-06-28,36885.445231516576
2025-06-29,36885.445231516576
2025-06-30,36908.152368465424
2025-07-01,36852.04097093995
2025-07-02,36463.98990491501
2025-07-03,36802.69867594666
2025-07-04,36788.44930582947
2025-07-05,36788.44930582947
2025-07-06,36788.44930582947
2025-07-07,36861.43244994141
2025-07-08,36649.38929308594
2025-07-09,36969.12021278504
2025-07-10,37036.345714663694
2025-07-11,37130.852668421634
2025-07-12,37130.852668421634
2025-07-13,37130.852668421634
2025-07-14,37287.15086156311
2025-07-15,37278.95166076111
2025-07-16,37589.07845645233
2025-07-17,37735.27251589599
2025-07-18,37718.53367611695
2025-07-19,37718.53367611695
2025-07-20,37718.53367611695
2025-07-21,37893.69719112548
2025-07-22,37511.78976215453
2025-07-23,37317.27199275514
2025-07-24,37202.14341870118
2025-07-25,37328.64917926407
2025-07-26,37328.64917926407
2025-07-27,37328.64917926407
2025-07-28,36906.350816510014
2025-07-29,38100.711740477294
2025-07-30,38167.074556560976
2025-07-31,38051.17976657226
2025-08-01,37961.40869588013
2025-08-02,37961.40869588013
2025-08-03,37961.40869588013
2025-08-04,38354.27577466094
2025-08-05,38033.84315606232
2025-08-06,38091.74727308319
2025-08-07,37781.9164039804
2025-08-08,37820.274373717344
2025-08-09,37820.274373717344
2025-08-10,37820.274373717344
2025-08-11,37570.49235917404
2025-08-12,37281.24870784821
2025-08-13,37110.48094787598
2025-08-14,37478.13345374863
2025-08-15,37743.222158394776
2025-08-16,37743.222158394776
2025-08-17,37743.222158394776
2025-08-18,37740.1438595462
2025-08-19,37550.53147480469
2025-08-20,37831.81169338989
2025-08-21,37819.71307959137
2025-08-22,38380.36848219162
2025-08-23,38380.36848219162
2025-08-24,38380.36848219162
2025-08-25,38339.96184627747
2025-08-26,38239.17618347534
2025-08-27,38478.42111726532
2025-08-28,38439.74843765076
2025-08-29,38517.33929747315
2025-08-30,38517.33929747315
2025-08-31,38517.33929747315
2025-09-01,38664.44066965321
2025-09-02,38319.189822348846
2025-09-03,39405.110433704605
2025-09-04,39715.39141900116
2025-09-05,39734.03833129263
2025-09-06,39734.03833129263
2025-09-07,39734.03833129263
2025-09-08,39393.09949707436
2025-09-09,39625.77771606715
2025-09-10,39264.245379331325
2025-09-11,39660.95745260149
2025-09-12,39317.09773038019
2025-09-13,39317.09773038019
2025-09-14,39317.09773038019
2025-09-15,39801.52954594195
2025-09-16,39611.91112470352
2025-09-17,39793.25747637565
2025-09-18,39987.29792541162
2025-09-19,40387.06063656652
2025-09-20,40387.06063656652
2025-09-21,40387.06063656652
2025-09-22,40140.70659778437
2025-09-23,39907.84455770365
2025-09-24,39520.50695196288
2025-09-25,39473.609620569
2025-09-26,39481.25131772933
2025-09-27,39481.25131772933
2025-09-28,39481.25131772933
2025-09-29,39179.04526267944
2025-09-30,39148.809787844846
2025-10-01,39197.20791866791
2025-10-02,39377.90891651367
2025-10-03,39533.49666650001
2025-10-04,39534.32264541778
2025-10-05,39534.32264541778
